BIRMINGHAM,AL                   ,-6,3,2,26,36,42,54,51,37,27,5,1,-6
HUNTSVILLE,AL                   ,-11,1,6,25,36,45,53,51,37,28,15,-3,-11
MOBILE,AL                       ,3,11,21,32,43,49,62,59,42,30,22,8,3
MONTGOMERY,AL                   ,0,10,17,28,40,49,59,56,39,26,13,5,0
ANCHORAGE,AK                    ,-34,-28,-24,-4,17,33,36,31,19,-5,-21,-30,-34
ANNETTE,AK                      ,-4,2,1,21,30,37,40,40,30,18,-3,1,-4
BARROW,AK                       ,-53,-56,-52,-42,-19,4,22,20,1,-32,-40,-55,-56
BETHEL,AK                       ,-52,-45,-42,-31,-5,28,30,28,18,-6,-31,-44,-52
BETTLES,AK                      ,-70,-64,-56,-37,-10,27,29,15,0,-35,-57,-59,-70
BIG DELTA,AK                    ,-63,-60,-49,-37,-1,26,32,22,-2,-39,-47,-62,-63
COLD BAY,AK                     ,-13,-5,-13,4,18,27,33,32,26,6,1,-9,-13
FAIRBANKS,AK                    ,-66,-58,-49,-32,-1,29,34,23,3,-28,-46,-62,-66
GULKANA,AK                      ,-60,-65,-48,-42,5,22,29,20,2,-23,-44,-65,-65
HOMER,AK                        ,-24,-19,-21,-9,6,27,34,31,20,0,-7,-16,-24
JUNEAU,AK                       ,-22,-22,-15,6,25,31,36,27,23,11,-5,-21,-22
KING SALMON,AK                  ,-48,-43,-42,-19,4,27,31,25,15,-12,-28,-38,-48
KODIAK,AK                       ,-16,-12,-6,7,20,30,37,34,26,10,0,-3,-16
KOTZEBUE,AK                     ,-55,-52,-58,-44,-18,20,30,26,13,-19,-37,-49,-58
MCGRATH,AK                      ,-75,-64,-51,-40,-2,27,31,25,2,-28,-53,-67,-75
NOME,AK                         ,-54,-42,-46,-30,-11,20,28,23,9,-10,-39,-41,-54
ST. PAUL ISLAND,AK              ,-14,-16,-19,-8,8,16,28,29,22,12,4,-3,-19
TALKEETNA,AK                    ,-48,-46,-43,-37,8,24,26,25,11,-21,-41,-53,-53
VALDEZ,AK                       ,-24,-28,-11,4,13,27,33,29,14,5,-10,-18,-28
YAKUTAT,AK                      ,-22,-20,-20,3,9,29,35,29,16,6,-10,-24,-24
FLAGSTAFF,AZ                    ,-30,-23,-16,-2,14,22,32,24,22,-2,-13,-23,-30
PHOENIX,AZ                      ,17,22,25,34,40,50,61,60,47,34,25,22,17
TUCSON,AZ                       ,16,18,20,33,38,47,59,61,44,26,23,16,16
WINSLOW,AZ                      ,-18,-9,-2,14,23,29,42,41,29,13,-9,-19,-19
FORT SMITH,AR                   ,-10,-9,7,22,35,47,50,51,33,22,8,-5,-10
LITTLE ROCK,AR                  ,-4,-5,11,28,38,46,54,52,37,29,17,-1,-5
BAKERSFIELD,CA                  ,20,25,31,33,37,44,52,52,45,29,28,19,19
BISHOP,CA                       ,-15,-2,9,15,20,25,34,34,26,16,5,-9,-15
BLUE CANYON,CA                  ,5,6,9,17,21,28,36,35,27,17,13,3,3
FRESNO,CA                       ,18,24,26,32,36,44,50,49,37,27,26,18,18
LONG BEACH,CA                   ,25,33,33,38,40,47,51,51,50,39,34,28,25
LOS ANGELES,CA                  ,28,29,35,39,43,49,53,51,50,41,38,30,28
REDDING,CA                      ,16,21,28,28,34,42,53,50,40,33,22,16,16
SACRAMENTO,CA                   ,20,23,26,31,34,41,48,48,42,35,26,18,18
