BIRMINGHAM,AL                   ,66,68,69,71,89,67,72,66,54,49,66,53,89
HUNTSVILLE,AL                   ,62,57,70,59,69,67,68,69,52,55,94,54,94
MOBILE,AL                       ,52,61,55,61,62,67,64,83,97,59,57,63,97
MONTGOMERY,AL                   ,48,66,64,67,64,60,55,60,64,63,56,55,67
ANCHORAGE,AK                    ,72,74,75,51,48,46,41,54,53,60,90,62,90
ANNETTE,AK                      ,98,74,75,78,72,70,59,69,83,83,90,92,98
BARROW,AK                       ,61,74,56,60,52,43,58,64,66,67,55,67,74
BETHEL,AK                       ,72,62,69,62,53,59,56,61,69,77,70,71,77
BETTLES,AK                      ,40,44,48,38,37,45,43,36,33,40,44,48,48
BIG DELTA,AK                    ,68,77,66,71,66,56,56,63,76,63,74,77,77
COLD BAY,AK                     ,85,92,93,92,79,78,72,81,96,90,85,87,96
FAIRBANKS,AK                    ,47,53,46,59,44,58,63,54,51,40,55,51,63
GULKANA,AK                      ,48,54,67,60,49,52,47,55,64,49,56,64,67
HOMER,AK                        ,56,63,53,74,75,44,44,44,49,58,54,69,75
JUNEAU,AK                       ,66,69,58,61,54,46,47,48,71,71,92,68,92
KING SALMON,AK                  ,84,94,92,71,77,69,75,66,74,75,83,84,94
KODIAK,AK                       ,99,86,84,84,59,61,52,67,78,83,85,88,99
KOTZEBUE,AK                     ,72,68,66,60,49,46,53,56,54,61,76,71,76
MCGRATH,AK                      ,61,63,46,52,45,62,46,49,49,46,53,56,63
NOME,AK                         ,67,66,60,57,53,45,49,56,59,69,69,71,71
ST. PAUL ISLAND,AK              ,75,91,77,68,74,53,48,61,64,71,84,79,91
TALKEETNA,AK                    ,48,48,48,44,39,41,30,36,48,45,47,46,48
VALDEZ,AK                       ,94,94,82,63,63,62,41,64,69,79,83,82,94
YAKUTAT,AK                      ,81,82,69,67,55,49,44,60,63,74,83,69,83
FLAGSTAFF,AZ                    ,61,55,64,63,66,64,53,64,64,60,69,63,69
PHOENIX,AZ                      ,60,54,59,59,59,72,86,78,67,61,61,68,86
TUCSON,AZ                       ,55,48,55,55,61,68,81,76,71,53,53,48,81
WINSLOW,AZ                      ,61,68,72,72,74,71,58,66,60,75,62,69,75
FORT SMITH,AR                   ,56,57,62,76,71,71,85,67,69,62,66,63,85
LITTLE ROCK,AR                  ,62,67,52,66,57,87,56,77,51,63,59,60,87
BAKERSFIELD,CA                  ,49,57,52,48,45,57,36,49,48,48,49,63,63
BISHOP,CA                       ,60,67,59,62,66,60,60,75,59,61,66,68,75
BLUE CANYON,CA                  ,72,67,57,60,49,38,44,40,44,53,66,72,72
FRESNO,CA                       ,55,49,48,48,44,40,33,41,39,51,46,48,55
LONG BEACH,CA                   ,49,49,49,48,43,40,32,29,51,49,78,48,78
LOS ANGELES,CA                  ,35,31,36,39,31,24,22,23,28,32,29,44,44
REDDING,CA                      ,70,64,74,48,54,60,52,46,44,66,63,85,85
SACRAMENTO,CA                   ,69,53,48,47,51,52,77,40,48,49,56,53,77
SAN DIEGO,CA                    ,64,52,53,43,40,37,30,33,45,39,48,58,64
SAN FRANCISCO,CA                ,78,71,64,61,62,66,52,49,56,64,68,92,92
SANTA BARBARA,CA                ,48,44,84,47,48,41,28,46,44,44,44,99,99
SANTA MARIA,CA                  ,67,57,53,53,47,45,44,59,43,45,49,52,67
STOCKTON,CA                     ,60,54,55,46,86,62,38,49,44,54,58,54,86
ALAMOSA,CO                      ,69,66,71,75,70,68,64,56,67,62,55,61,75
COLORADO SPRINGS,CO             ,66,78,71,68,70,64,63,63,58,70,62,68,78
DENVER,CO                       ,62,66,62,70,63,64,70,59,59,60,56,67,70
GRAND JUNCTION,CO               ,59,59,66,78,68,69,68,74,64,62,55,54,78
PUEBLO,CO                       ,68,71,86,72,76,69,78,69,63,67,68,63,86
BRIDGEPORT,CT                   ,69,66,71,63,59,78,62,77,69,76,61,66,78
HARTFORD,CT                     ,66,98,62,60,69,59,89,57,66,86,64,57,98
WILMINGTON,DE                   ,67,60,71,62,71,76,66,60,64,58,61,69,76
WASHINGTON DULLES,DC            ,62,59,61,68,59,78,78,68,54,54,56,62,78
WASHINGTON NAT'L,DC             ,71,69,74,66,64,70,83,67,64,98,66,67,98
DAYTONA BEACH,FL                ,62,57,77,57,69,74,67,68,75,56,55,60,77
FORT MYERS,FL                   ,48,47,49,49,56,71,58,76,53,76,40,47,76
GAINESVILLE,FL                  ,47,49,52,56,60,64,64,61,64,41,49,46,64
JACKSONVILLE,FL                 ,64,62,66,67,71,67,77,66,62,47,49,62,77
KEY WEST,FL                     ,57,68,75,78,53,70,74,74,87,90,69,54,90
MIAMI,FL                        ,58,61,60,78,63,68,56,78,94,92,53,46,94
ORLANDO,FL                      ,92,55,86,56,70,70,74,62,78,48,49,48,92
PENSACOLA,FL                    ,52,55,47,63,55,55,93,69,67,54,60,46,93
TALLAHASSEE,FL                  ,53,51,53,62,81,76,67,64,83,58,68,51,83
TAMPA,FL                        ,55,73,57,56,99,78,67,59,75,53,81,60,99
VERO BEACH,FL                   ,46,52,54,49,58,61,63,59,60,53,45,46,63
WEST PALM BEACH,FL              ,62,62,74,63,74,92,59,66,83,61,47,53,92
ATHENS,GA                       ,55,56,83,60,53,57,78,56,55,51,59,54,83
ATLANTA,GA                      ,62,71,70,61,72,60,77,71,57,49,56,67,77
AUGUSTA,GA                      ,55,55,66,55,87,67,69,63,47,63,58,49,87
COLUMBUS,GA                     ,57,61,99,67,82,69,64,71,61,52,52,59,99
MACON,GA                        ,60,87,74,72,71,59,63,62,51,45,57,59,87
SAVANNAH,GA                     ,60,59,68,81,68,81,70,57,68,61,62,54,81
HILO,HI                         ,47,59,40,40,41,33,38,54,37,43,46,48,59
HONOLULU,HI                     ,61,53,51,47,46,43,51,74,49,43,81,51,81
KAHULUI,HI                      ,64,56,55,49,47,49,53,55,45,99,59,58,99
LIHUE,HI                        ,84,60,54,60,44,39,41,38,40,41,85,58,85
BOISE,ID                        ,59,64,57,59,55,63,71,68,56,54,56,63,71
LEWISTON,ID                     ,72,64,60,57,54,60,63,73,59,59,63,63,73
POCATELLO,ID                    ,75,62,64,61,69,84,82,68,74,69,60,77,84
CHICAGO,IL                      ,57,61,84,69,58,70,76,64,57,57,62,63,84
MOLINE,IL                       ,59,54,69,81,66,79,81,81,69,61,61,69,81
PEORIA,IL                       ,54,55,68,69,64,75,85,59,75,60,70,59,85
ROCKFORD,IL                     ,56,68,67,64,81,69,80,74,58,59,59,62,81
SPRINGFIELD,IL                  ,55,64,71,74,68,64,62,69,61,53,92,72,92
EVANSVILLE,IN                   ,71,59,54,76,75,76,64,56,64,52,70,61,76
FORT WAYNE,IN                   ,69,63,61,61,63,91,69,64,53,63,60,58,91
INDIANAPOLIS,IN                 ,61,62,75,85,70,70,81,70,74,86,80,64,86
SOUTH BEND,IN                   ,67,57,56,66,86,74,66,92,63,90,74,69,92
DES MOINES,IA                   ,59,62,59,67,77,76,83,72,60,61,62,56,83
DUBUQUE,IA                      ,74,54,62,69,74,72,74,78,85,60,63,59,85
SIOUX CITY,IA                   ,66,66,68,71,77,75,74,66,76,61,87,87,87
WATERLOO,IA                     ,57,69,59,76,93,86,70,56,60,58,68,54,93
CONCORDIA,KS                    ,60,63,67,87,62,75,67,67,64,61,62,60,87
DODGE CITY,KS                   ,66,71,82,69,68,70,79,75,59,72,74,63,82
GOODLAND,KS                     ,67,62,71,82,96,77,76,92,78,72,68,77,96
TOPEKA,KS                       ,53,59,62,64,67,82,77,70,61,66,57,54,82
WICHITA,KS                      ,59,61,82,84,75,83,83,74,63,56,63,54,84
JACKSON,KY                      ,56,60,56,57,49,60,55,51,40,48,52,60,60
LEXINGTON,KY                    ,78,60,53,62,59,64,66,59,60,55,56,66,78
LOUISVILLE,KY                   ,60,60,60,84,64,72,84,59,75,49,57,60,84
PADUCAH,KY                      ,64,63,61,79,84,64,70,63,56,52,63,59,84
BATON ROUGE,LA                  ,54,51,67,64,59,53,59,72,91,60,47,78,91
LAKE CHARLES,LA                 ,51,62,59,70,66,74,66,56,77,62,69,56,77
NEW ORLEANS,LA                  ,63,67,77,70,69,67,79,75,63,60,55,69,79
SHREVEPORT,LA                   ,69,66,72,81,83,74,67,86,66,54,87,67,87
CARIBOU,ME                      ,54,56,49,49,47,55,75,62,44,52,53,55,75
PORTLAND,ME                     ,64,67,62,61,67,76,60,78,76,68,76,76,78
BALTIMORE,MD                    ,59,60,57,62,55,66,72,56,58,60,64,77,77
BOSTON,MA                       ,69,79,81,76,70,84,74,71,87,62,86,78,87
WORCESTER,MA                    ,67,74,69,64,94,68,59,69,71,61,69,72,94
ALPENA,MI                       ,53,54,54,60,53,57,53,60,46,55,56,61,61
DETROIT,MI                      ,66,64,64,66,78,94,71,69,60,56,58,61,94
FLINT,MI                        ,61,54,69,68,56,76,72,71,63,67,63,69,76
GRAND RAPIDS,MI                 ,62,64,71,68,68,63,61,61,72,60,78,66,78
HOUGHTON LAKE,MI                ,62,48,61,61,60,61,57,59,58,56,61,61,62
LANSING,MI                      ,61,53,64,70,62,69,64,62,51,58,62,63,70
MUSKEGON,MI                     ,62,67,59,63,54,55,60,63,54,58,67,78,78
SAULT STE. MARIE,MI             ,61,56,59,57,55,52,54,56,55,61,71,60,71
DULUTH,MN                       ,57,56,87,62,71,69,64,63,60,70,55,56,87
INTERNATIONAL FALLS,MN          ,62,47,52,60,59,60,63,67,48,46,49,49,67
MINNEAPOLIS-ST.PAUL,MN          ,67,55,60,61,67,68,63,71,54,62,66,52,71
ROCHESTER,MN                    ,69,56,90,87,76,82,74,78,87,62,67,58,90
SAINT CLOUD,MN                  ,57,52,49,78,74,77,64,63,56,58,54,55,78
JACKSON,MS                      ,59,53,68,63,60,63,67,64,63,51,69,72,72
MERIDIAN,MS                     ,58,55,64,57,51,87,67,56,69,48,55,68,87
TUPELO,MS                       ,53,59,51,59,64,57,63,55,55,79,56,49,79
COLUMBIA,MO                     ,53,63,66,69,70,96,72,81,57,59,61,71,96
KANSAS CITY,MO                  ,57,56,63,78,66,78,81,87,63,55,54,64,87
ST. LOUIS,MO                    ,62,67,66,83,63,76,72,68,68,78,64,67,83
SPRINGFIELD,MO                  ,66,62,55,56,66,61,72,59,58,68,58,54,72
BILLINGS,MT                     ,67,74,74,69,76,62,85,71,73,70,72,67,85
GLASGOW,MT                      ,72,68,62,67,63,66,86,76,59,66,72,71,86
GREAT FALLS,MT                  ,74,66,66,62,61,75,77,83,64,67,82,68,83
HAVRE,MT                        ,60,55,62,63,64,76,73,71,63,69,78,67,78
HELENA,MT                       ,68,64,60,58,69,64,81,61,64,61,62,68,81
KALISPELL,MT                    ,48,46,49,53,64,61,49,55,47,75,52,46,75
MISSOULA,MT                     ,60,63,67,63,56,79,76,74,55,61,59,76,79
GRAND ISLAND,NE                 ,65,61,64,67,80,78,72,70,67,63,62,63,80
LINCOLN,NE                      ,64,60,60,64,72,84,68,82,58,57,66,58,84
NORFOLK,NE                      ,67,62,71,74,62,79,78,82,81,61,84,64,84
NORTH PLATTE,NE                 ,64,62,76,76,77,85,70,75,59,68,62,63,85
OMAHA,NE                        ,61,61,68,70,86,72,70,92,60,64,61,56,92
SCOTTSBLUFF,NE                  ,85,64,70,68,71,70,79,70,81,60,61,62,85
VALENTINE,NE                    ,63,63,63,68,69,76,79,81,59,70,62,62,81
ELKO,NV                         ,54,56,67,61,59,72,60,70,55,49,51,59,72
ELY,NV                          ,74,56,71,66,63,60,68,60,62,61,63,59,74
LAS VEGAS,NV                    ,54,72,82,69,72,63,75,90,72,62,70,61,90
RENO,NV                         ,90,83,71,64,70,67,68,70,54,81,81,82,90
WINNEMUCCA,NV                   ,59,62,64,68,66,85,66,78,63,54,60,63,85
CONCORD,NH                      ,53,68,56,61,52,66,53,52,52,56,58,57,68
MT. WASHINGTON,NH               ,172,166,149,229,141,126,134,142,174,158,229,178,229
ATLANTIC CITY,NJ                ,78,64,68,67,59,74,81,62,83,64,69,71,83
NEWARK,NJ                       ,62,60,67,76,57,83,69,68,67,78,63,62,83
ALBUQUERQUE,NM                  ,70,77,77,75,70,68,89,67,62,67,63,71,89
CLAYTON,NM                      ,63,64,71,64,82,71,63,62,56,62,73,61,82
ROSWELL,NM                      ,59,63,75,64,78,89,66,68,69,61,86,62,89
ALBANY,NY                       ,62,67,61,57,82,59,77,68,64,62,67,63,82
BINGHAMTON,NY                   ,61,60,57,64,59,60,74,63,48,87,58,54,87
BUFFALO,NY                      ,71,82,72,74,64,79,59,81,67,64,72,75,82
ISLIP,NY                        ,59,60,62,55,49,54,48,62,53,90,54,64,90
ROCHESTER,NY                    ,75,77,70,71,64,58,64,62,89,60,67,63,89
SYRACUSE,NY                     ,62,64,61,63,76,67,66,56,77,60,69,63,77
ASHEVILLE,NC                    ,57,56,64,66,52,52,61,53,85,57,55,53,85
CAPE HATTERAS,NC                ,60,69,70,83,61,64,73,98,94,74,78,64,98
CHARLOTTE,NC                    ,64,53,60,66,67,60,68,77,87,40,51,53,87
GREENSBORO-WNSTN-SALM-HGHPT,NC  ,63,62,61,62,82,60,98,81,60,60,48,51,98
RALEIGH,NC                      ,86,64,61,59,64,51,53,61,79,44,45,55,86
WILMINGTON,NC                   ,64,63,89,59,55,75,78,74,86,54,54,55,89
BISMARCK,ND                     ,68,72,64,71,69,83,76,71,84,63,61,63,84
FARGO,ND                        ,60,92,57,63,72,81,91,99,62,64,61,59,99
GRAND FORKS,ND                  ,57,58,55,51,66,58,69,70,51,60,55,53,70
WILLISTON,ND                    ,62,58,62,70,76,75,79,61,60,67,64,63,79
AKRON,OH                        ,76,57,64,61,56,84,68,66,56,54,62,62,84
CINCINNATI,OH                   ,71,56,64,76,59,67,83,62,74,60,59,61,83
CLEVELAND,OH                    ,82,67,63,78,55,77,68,54,57,68,64,71,82
COLUMBUS,OH                     ,69,66,62,78,76,72,71,66,75,55,56,61,78
DAYTON,OH                       ,69,66,67,63,62,82,74,61,69,62,54,62,82
MANSFIELD,OH                    ,62,66,62,68,60,68,81,69,66,53,69,69,81
TOLEDO,OH                       ,62,56,69,63,68,62,66,75,54,59,66,66,75
YOUNGSTOWN,OH                   ,67,59,78,75,70,58,66,57,62,51,53,63,78
OKLAHOMA CITY,OK                ,55,62,90,92,76,87,94,59,69,55,63,62,94
TULSA,OK                        ,54,53,66,72,69,70,76,71,55,66,62,67,76
ASTORIA,OR                      ,79,76,76,63,61,54,59,62,59,67,74,94,94
BURNS,OR                        ,64,51,61,56,53,44,52,59,52,54,51,51,64
EUGENE,OR                       ,66,70,60,57,87,41,51,46,40,52,57,61,87
MEDFORD,OR                      ,56,54,53,48,43,53,55,54,59,45,62,59,62
PENDLETON,OR                    ,76,69,74,64,68,62,62,59,70,56,67,69,76
PORTLAND,OR                     ,63,68,71,63,48,87,36,43,51,89,71,67,89
SALEM,OR                        ,61,54,87,60,46,39,45,45,47,51,71,59,87
SEXTON SUMMIT,OR                ,66,67,56,67,64,47,40,45,58,53,74,62,74
ALLENTOWN,PA                    ,68,64,60,68,68,77,69,92,60,70,78,62,92
ERIE,PA                         ,78,74,67,71,55,92,69,54,69,62,69,62,92
MIDDLETOWN/HARRISBURG,PA        ,60,62,64,66,72,70,72,67,65,74,63,56,74
PHILADELPHIA,PA                 ,62,63,69,71,69,75,66,62,53,68,61,63,75
PITTSBURGH,PA                   ,68,78,72,74,61,71,83,89,62,77,71,62,89
AVOCA,PA                        ,74,59,61,64,89,57,57,55,87,57,61,64,89
WILLIAMSPORT,PA                 ,59,59,60,60,67,79,66,61,60,54,63,64,79
PROVIDENCE,RI                   ,72,68,71,61,54,54,54,66,81,59,71,68,81
CHARLESTON,SC                   ,67,62,69,71,60,64,62,69,98,56,55,55,98
COLUMBIA,SC                     ,54,69,69,75,71,78,75,64,70,54,51,51,78
GREENVILLE-SPARTANBURG,SC       ,63,66,61,71,58,76,66,64,48,48,53,51,76
ABERDEEN,SD                     ,69,66,59,66,62,63,79,69,57,62,58,59,79
HURON,SD                        ,66,64,62,70,60,87,82,90,75,64,61,60,90
RAPID CITY,SD                   ,70,70,75,69,83,83,89,69,87,99,77,71,99
SIOUX FALLS,SD                  ,69,67,61,66,69,87,82,77,56,62,74,55,87
BRISTOL-JHNSN CTY-KNGSPRT,TN    ,60,53,57,68,62,59,87,54,54,53,53,58,87
CHATTANOOGA,TN                  ,60,53,60,69,54,68,55,75,52,49,47,47,75
KNOXVILLE,TN                    ,60,63,58,76,55,58,69,86,45,56,64,59,86
MEMPHIS,TN                      ,61,55,61,81,66,72,61,59,47,61,55,97,97
NASHVILLE,TN                    ,66,53,56,94,55,59,67,70,51,55,60,59,94
ABILENE,TX                      ,51,59,74,68,71,72,78,67,68,57,62,59,78
AMARILLO,TX                     ,68,69,76,81,71,99,81,74,60,74,72,68,99
AUSTIN,TX                       ,54,55,56,57,71,56,87,54,81,46,57,63,87
BROWNSVILLE,TX                  ,53,68,59,66,81,62,68,78,69,55,53,53,81
CORPUS CHRISTI,TX               ,69,63,67,67,63,61,55,92,70,75,60,56,92
DALLAS,TX                       ,52,48,53,58,58,74,53,64,54,67,76,66,76
DEL RIO,TX                      ,59,63,56,59,72,62,54,52,61,53,54,56,72
EL PASO,TX                      ,75,72,84,74,63,69,78,69,63,70,64,74,84
GALVESTON,TX                    ,49,52,59,69,57,60,54,59,61,56,60,58,69
HOUSTON,TX                      ,49,61,54,59,69,87,68,98,61,57,49,56,98
LUBBOCK,TX                      ,66,66,77,71,74,85,85,62,63,64,71,66,85
MIDLAND-ODESSA,TX               ,59,63,74,76,83,93,82,66,82,69,60,69,93
PORT ARTHUR,TX                  ,56,54,60,59,62,76,69,66,95,56,61,61,95
SAN ANGELO,TX                   ,61,63,63,76,93,71,68,69,76,68,74,60,93
SAN ANTONIO,TX                  ,54,56,64,74,63,64,77,53,71,54,63,53,77
VICTORIA,TX                     ,59,63,87,64,68,81,99,67,54,75,55,55,99
WACO,TX                         ,54,63,75,87,61,63,77,54,60,64,57,66,87
WICHITA FALLS,TX                ,62,75,91,69,90,94,74,81,69,68,63,61,94
SALT LAKE CITY,UT               ,69,63,62,69,75,94,74,74,71,71,59,60,94
BURLINGTON,VT                   ,51,54,56,53,71,56,63,59,53,51,62,54,71
LYNCHBURG,VA                    ,56,57,56,58,59,74,64,75,44,51,64,47,75
NORFOLK,VA                      ,69,60,69,62,66,69,68,67,74,75,74,53,75
RICHMOND,VA                     ,57,63,67,65,79,70,93,70,72,79,54,64,93
ROANOKE,VA                      ,60,67,66,77,59,81,81,62,58,60,55,61,81
WALLOPS ISLAND,VA               ,64,61,63,56,67,62,67,62,68,69,60,59,69
OLYMPIA,WA                      ,57,53,51,46,44,43,32,45,40,45,64,57,64
QUILLAYUTE,WA                   ,61,62,55,54,60,44,37,62,58,60,56,69,69
SEATTLE,WA                      ,64,60,60,47,46,46,36,46,43,53,67,69,69
SPOKANE,WA                      ,67,58,70,62,59,77,67,54,55,62,71,69,77
