BIRMINGHAM,AL                   ,15,11,5,1,0,0,0,0,0,*,6,13,51
HUNTSVILLE,AL                   ,18,14,7,1,0,0,0,0,0,1,7,16,63
MOBILE,AL                       ,8,5,1,*,0,0,0,0,0,*,2,6,21
MONTGOMERY,AL                   ,13,8,2,*,0,0,0,0,0,*,5,11,39
ANCHORAGE,AK                    ,30,27,29,21,3,0,0,*,3,20,28,30,192
ANNETTE,AK                      ,16,14,13,4,*,0,0,0,*,1,9,15,72
BARROW,AK                       ,31,28,31,30,31,23,13,14,24,31,30,31,316
BETHEL,AK                       ,30,28,31,28,16,1,*,*,6,25,29,30,223
BETTLES,AK                      ,31,28,31,29,14,*,*,2,15,30,30,31,240
BIG DELTA,AK                    ,31,28,30,26,8,*,*,1,10,28,30,31,222
COLD BAY,AK                     ,24,23,25,21,9,*,0,*,1,9,19,23,153
FAIRBANKS,AK                    ,31,28,31,27,8,*,0,1,11,29,30,31,226
GULKANA,AK                      ,31,28,31,28,15,1,*,3,14,27,29,31,239
HOMER,AK                        ,28,25,27,21,8,*,0,*,4,17,25,27,183
JUNEAU,AK                       ,25,22,23,14,3,*,0,*,1,8,18,23,137
KING SALMON,AK                  ,28,25,28,25,11,1,*,*,6,21,26,28,199
KODIAK,AK                       ,22,20,22,14,3,*,0,0,1,11,19,22,134
KOTZEBUE,AK                     ,31,28,31,29,25,6,*,*,7,28,30,31,245
MCGRATH,AK                      ,31,28,31,28,11,*,*,1,10,28,30,31,227
NOME,AK                         ,31,28,31,29,20,4,*,1,10,25,29,31,240
ST. PAUL ISLAND,AK              ,26,26,29,26,18,3,*,*,2,12,19,24,187
TALKEETNA,AK                    ,31,28,30,27,13,1,*,1,9,24,29,30,223
VALDEZ,AK                       ,30,27,30,21,6,*,0,*,3,15,28,30,191
YAKUTAT,AK                      ,25,23,25,19,7,*,0,*,3,10,20,24,159
FLAGSTAFF,AZ                    ,30,28,29,24,12,2,*,*,2,18,28,30,204
PHOENIX,AZ                      ,3,2,*,0,0,0,0,0,0,0,1,2,8
TUCSON,AZ                       ,6,3,1,0,0,0,0,0,0,*,1,5,16
WINSLOW,AZ                      ,28,23,19,8,1,*,0,0,*,6,22,28,136
FORT SMITH,AR                   ,22,15,7,1,0,0,0,0,0,1,8,18,72
LITTLE ROCK,AR                  ,18,12,4,*,0,0,0,0,0,*,5,14,55
BAKERSFIELD,CA                  ,5,1,*,0,0,0,0,0,0,*,1,5,13
BISHOP,CA                       ,29,24,20,9,2,*,0,0,*,8,24,29,144
BLUE CANYON,CA                  ,17,16,17,11,4,*,0,0,*,2,10,15,91
FRESNO,CA                       ,7,3,1,*,0,0,0,0,0,*,2,8,20
LONG BEACH,CA                   ,*,0,0,0,0,0,0,0,0,0,0,*,1
LOS ANGELES,CA                  ,*,*,0,0,0,0,0,0,0,0,0,*,0
REDDING,CA                      ,10,4,2,*,0,0,0,0,0,0,3,11,31
SACRAMENTO,CA                   ,7,2,*,*,0,0,0,0,0,0,1,7,18
SAN DIEGO,CA                    ,*,0,0,0,0,0,0,0,0,0,0,0,0
SAN FRANCISCO,CA                ,*,*,0,0,0,0,0,0,0,0,0,*,0
