BIRMINGHAM                 ,AL,1,3,18,62,198,382,499,487,300,90,15,3,2058
HUNTSVILLE                 ,AL,0,1,13,58,191,380,482,470,275,70,9,2,1951
MOBILE                     ,AL,7,9,39,104,286,444,522,516,377,158,41,15,2516
MONTGOMERY                 ,AL,2,4,23,72,238,419,521,510,341,115,23,6,2274
ANCHORAGE                  ,AK,0,0,0,0,0,0,2,0,0,0,0,0,3
ANNETTE                    ,AK,0,0,0,0,0,4,6,7,0,0,0,0,18
BARROW                     ,AK,0,0,0,0,0,0,0,0,0,0,0,0,0
BETHEL                     ,AK,0,0,0,0,0,1,2,1,0,0,0,0,4
BETTLES                    ,AK,0,0,0,0,1,15,18,2,0,0,0,0,36
BIG DELTA                  ,AK,0,0,0,0,0,9,12,5,0,0,0,0,26
COLD BAY                   ,AK,0,0,0,0,0,0,0,0,0,0,0,0,0
FAIRBANKS                  ,AK,0,0,0,0,1,23,31,6,0,0,0,0,61
GULKANA                    ,AK,0,0,0,0,0,2,3,1,0,0,0,0,5
HOMER                      ,AK,0,0,0,0,0,0,0,0,0,0,0,0,0
JUNEAU                     ,AK,0,0,0,0,0,1,1,0,0,0,0,0,3
KING SALMON                ,AK,0,0,0,0,0,0,0,1,0,0,0,0,1
KODIAK                     ,AK,0,0,0,0,0,0,1,0,0,0,0,0,2
KOTZEBUE                   ,AK,0,0,0,0,0,1,3,1,0,0,0,0,5
MCGRATH                    ,AK,0,0,0,0,0,6,12,2,0,0,0,0,20
NOME                       ,AK,0,0,0,0,0,1,2,0,0,0,0,0,3
ST. PAUL ISLAND            ,AK,0,0,0,0,0,0,0,0,0,0,0,0,0
TALKEETNA                  ,AK,0,0,0,0,0,4,9,3,0,0,0,0,16
VALDEZ                     ,AK,0,0,0,0,0,0,1,0,0,0,0,0,1
YAKUTAT                    ,AK,0,0,0,0,0,0,0,0,0,0,0,0,0
FLAGSTAFF                  ,AZ,0,0,0,0,0,17,64,33,3,0,0,0,117
PHOENIX                    ,AZ,2,15,87,251,531,774,924,885,700,367,70,1,4608
TUCSON                     ,AZ,1,3,29,121,348,594,683,631,497,212,27,0,3145
WINSLOW                    ,AZ,0,0,0,4,63,241,409,341,143,7,0,0,1208
FORT SMITH                 ,AR,0,1,11,54,178,385,536,530,283,68,8,1,2053
LITTLE ROCK                ,AR,1,1,14,56,209,425,553,542,312,81,10,2,2206
BAKERSFIELD                ,CA,0,0,9,57,201,379,583,539,362,124,4,0,2259
