BIRMINGHAM                 ,AL,0,0,9,118,331,589,658,485,322,139,25,1,2678
HUNTSVILLE                 ,AL,0,0,13,138,376,654,729,542,368,154,27,1,3002
MOBILE                     ,AL,0,0,2,53,203,404,459,321,189,60,4,0,1694
MONTGOMERY                 ,AL,0,0,4,87,280,517,574,410,255,99,10,0,2237
ANCHORAGE                  ,AK,194,256,494,936,1284,1426,1485,1254,1192,846,533,293,10194
ANNETTE                    ,AK,205,196,335,566,750,863,868,764,784,623,461,299,6714
BARROW                     ,AK,749,806,986,1482,1929,2257,2430,2218,2407,1896,1359,881,19399
BETHEL                     ,AK,278,358,582,1077,1428,1694,1810,1511,1544,1143,716,378,12518
BETTLES                    ,AK,182,390,732,1431,1981,2193,2326,1960,1880,1251,640,212,15178
BIG DELTA                  ,AK,161,321,635,1268,1762,1950,2047,1681,1578,983,540,231,13157
COLD BAY                   ,AK,439,400,507,761,913,1051,1139,1008,1082,930,766,561,9557
FAIRBANKS                  ,AK,108,281,605,1265,1872,2141,2260,1858,1660,974,485,160,13666
GULKANA                    ,AK,234,356,651,1192,1776,2001,2103,1666,1531,995,614,321,13440
HOMER                      ,AK,322,344,509,834,1065,1176,1246,1085,1088,842,637,431,9579
JUNEAU                     ,AK,251,284,449,701,946,1090,1139,977,967,724,508,315,8351
KING SALMON                ,AK,293,323,522,976,1263,1438,1513,1292,1266,939,646,407,10880
KODIAK                     ,AK,327,306,468,761,933,1048,1071,958,998,822,642,461,8794
KOTZEBUE                   ,AK,325,413,681,1262,1677,1944,2102,1841,1982,1551,1026,580,15385
MCGRATH                    ,AK,167,324,612,1237,1783,2114,2216,1779,1655,1059,567,234,13750
NOME                       ,AK,398,462,666,1124,1443,1720,1855,1611,1696,1335,874,517,13703
ST. PAUL ISLAND            ,AK,552,501,590,818,960,1121,1237,1138,1245,1073,894,678,10806
TALKEETNA                  ,AK,159,260,525,986,1366,1519,1575,1312,1243,875,535,243,10597
VALDEZ                     ,AK,299,349,530,825,1099,1209,1280,1092,1076,806,560,353,9476
YAKUTAT                    ,AK,330,346,498,742,979,1096,1144,990,1023,816,628,426,9018
FLAGSTAFF                  ,AZ,32,56,229,566,849,1096,1088,923,868,649,417,170,6943
PHOENIX                    ,AZ,0,0,0,6,97,298,269,163,81,20,1,0,935
TUCSON                     ,AZ,0,0,0,24,182,405,383,273,179,60,5,0,1512
WINSLOW                    ,AZ,0,0,31,275,630,942,925,692,558,326,108,10,4497
FORT SMITH                 ,AR,0,0,17,137,411,734,792,582,386,156,27,1,3244
LITTLE ROCK                ,AR,0,0,11,121,382,683,749,567,375,144,20,0,3053
BAKERSFIELD                ,CA,0,0,2,56,300,533,535,348,239,129,31,2,2173
