BIRMINGHAM                 ,AL,53.8,58.4,66.7,74.4,81.5,87.7,90.8,90.6,85.1,75.3,65.4,55.9,73.9
HUNTSVILLE                 ,AL,51.2,55.9,64.9,73.6,81.3,88.2,90.7,90.9,85,74.6,63.7,53.5,72.9
MOBILE                     ,AL,60.8,64.4,71.2,77.5,84.5,89.2,91,90.7,87,79.2,70.6,62.7,77.5
MONTGOMERY                 ,AL,57.4,61.8,69.7,76.6,84,89.8,92.1,91.9,87.3,78.3,69,59.6,76.5
ANCHORAGE                  ,AK,23.1,26.6,33.9,44.5,56,62.8,65.4,63.5,55.1,40.5,27.8,24.8,43.7
ANNETTE                    ,AK,41.6,42.7,44.9,50.2,56.3,61.1,64.3,64.7,59.3,51.6,44.6,41.5,51.9
BARROW                     ,AK,-7.3,-8,-6.1,8.5,25.8,40.5,46.9,43.9,35.8,21.8,6.2,-1.8,17.3
BETHEL                     ,AK,12.4,17.7,22.6,34.5,50.5,61.1,63.4,60,52.2,35.8,23.2,16.8,37.6
BETTLES                    ,AK,-2.2,4.5,16.7,34.3,54.6,69.3,69.8,62.1,48.9,25.6,6,1.9,32.8
BIG DELTA                  ,AK,5.7,13,24.4,42.3,57.5,67.2,69.2,63.7,52.3,30.7,12.9,8.6,37.4
COLD BAY                   ,AK,32.9,33.7,35.1,39,45.6,51.2,55.3,56.5,52.9,45.5,39.1,35.6,43.6
FAIRBANKS                  ,AK,1.1,10,25.4,44.5,61,71.6,72.7,65.9,54.6,31.9,10.9,4.8,38
GULKANA                    ,AK,5,15.5,28.2,43.3,57,66.4,68.6,64.7,53.6,34.7,13.6,8.3,38.3
HOMER                      ,AK,30.8,32.7,36.6,44.1,51.8,57.8,61.2,60.9,55,44.6,35.5,33,45.4
JUNEAU                     ,AK,32.8,35.2,39.6,48.4,56.6,62.2,63.9,62.7,55.7,47,37.8,34.1,48.1
KING SALMON                ,AK,23.6,26.8,32.7,42.4,53.8,61,63.8,62.6,55.5,41.3,30.5,26.4,43.4
KODIAK                     ,AK,35,35.5,37.9,42.9,49.9,54.8,59.8,61.3,55.6,46.4,39.1,36.1,46.3
KOTZEBUE                   ,AK,3.9,6.3,8.8,21.2,37.8,51.5,59.5,56.1,46.7,28.5,14.2,8.7,28.7
MCGRATH                    ,AK,2.3,12.4,24.8,40.8,57.3,68.1,69.3,63.4,53.1,31.9,13.2,5.4,36.9
NOME                       ,AK,13.1,15.4,18.5,27.5,43.1,54.9,58.2,55.9,48.7,34.5,23.1,16.8,34.2
ST. PAUL ISLAND            ,AK,29.1,28.5,29.3,33.4,40.4,46.8,50.8,52.1,49.6,42.8,36.9,33,39.4
