BIRMINGHAM                 ,AL,4.84,4.53,5.23,4.38,4.99,4.38,4.8,3.93,3.9,3.44,4.85,4.45,53.72
HUNTSVILLE                 ,AL,4.89,4.84,5.21,4.32,5.11,4.29,4.05,3.61,3.72,3.59,4.94,5.77,54.34
MOBILE                     ,AL,5.65,5.12,6.14,4.79,5.14,6.11,7.25,6.96,5.11,3.69,5.13,5.06,66.15
MONTGOMERY                 ,AL,4.65,5.28,5.95,4.02,3.54,4.07,5.24,3.96,3.97,2.92,4.61,4.86,53.07
ANCHORAGE                  ,AK,0.73,0.72,0.6,0.47,0.72,0.97,1.83,3.25,2.99,2.03,1.16,1.11,16.58
ANNETTE                    ,AK,10.7,7.3,8,6.7,5.5,4.8,4.6,6.9,9.7,13,12,9   1,72  101.63
BARROW                     ,AK,0.13,0.14,0.09,0.16,0.18,0.32,0.98,1.05,0.72,0.41,0.21,0.14,4.53
BETHEL                     ,AK,0.78,0.72,0.71,0.74,1.14,1.72,2.36,3.25,2.75,1.65,1.6,1.12,18.54
BETTLES                    ,AK,0.81,0.85,0.58,0.6,0.88,1.4,2.36,2.64,1.91,1.04,0.91,0.92,14.9
BIG DELTA                  ,AK,0.31,0.28,0.18,0.23,0.9,2.31,2.68,1.89,1.03,0.8,0.63,0.38,11.62
COLD BAY                   ,AK,3.16,2.98,2.7,2.42,2.6,2.72,2.48,3.68,4.73,4.76,4.98,4.46,41.67
FAIRBANKS                  ,AK,0.58,0.42,0.25,0.31,0.6,1.37,2.16,1.88,1.1,0.83,0.67,0.64,10.81
GULKANA                    ,AK,0.46,0.51,0.3,0.24,0.65,1.4,1.81,1.8,1.58,1.01,0.72,0.78,11.26
HOMER                      ,AK,2.63,1.71,1.65,1.07,0.82,0.82,1.55,2.34,3.31,2.57,2.79,3.08,24.34
JUNEAU                     ,AK,5.35,4.13,3.78,2.94,3.4,3.24,4.6,5.73,8.64,8.63,5.99,5.84,62.27
KING SALMON                ,AK,1.02,0.76,0.7,0.97,1.25,1.65,2.3,2.95,3.19,2.08,1.39,1.23,19.49
KODIAK                     ,AK,8.29,6.14,5.53,5.81,5.62,5.91,4.93,4.56,7.35,8.26,6.87,8.73,78
KOTZEBUE                   ,AK,0.62,0.66,0.44,0.54,0.41,0.58,1.45,2.18,1.58,1.01,0.77,0.76,11
MCGRATH                    ,AK,1.09,0.94,0.81,0.74,1.09,1.52,2.38,2.8,2.49,1.44,1.41,1.29,18
NOME                       ,AK,0.94,0.93,0.65,0.76,0.86,0.98,2.11,3.22,2.45,1.61,1.22,1.08,16.81
ST. PAUL ISLAND            ,AK,1.58,1.3,1.07,1.08,1.13,1.35,1.85,3.07,2.99,3.11,2.89,2.25,23.67
TALKEETNA                  ,AK,1.36,1.45,1.05,1.29,1.62,1.92,3.39,5.11,4.32,2.9,1.63,1.93,27.97
