BIRMINGHAM,AL                   ,11,10,11,9,10,10,13,10,8,6,9,11,117
HUNTSVILLE,AL                   ,11,10,11,10,10,10,11,9,8,7,9,11,116
MOBILE,AL                       ,10,9,10,7,8,12,15,14,10,6,8,10,119
MONTGOMERY,AL                   ,10,9,10,8,8,9,12,9,7,6,7,10,106
ANCHORAGE,AK                    ,8,8,7,6,6,8,12,14,14,11,9,10,114
ANNETTE,AK                      ,21,18,21,19,16,15,15,15,18,24,23,23,227
BARROW,AK                       ,4,5,4,4,5,5,9,11,11,12,7,5,81
BETHEL,AK                       ,9,8,9,9,10,12,16,19,17,12,12,11,145
BETTLES,AK                      ,8,8,7,6,7,10,12,14,12,11,10,10,116
BIG DELTA,AK                    ,6,5,4,4,7,11,13,12,9,9,8,6,94
COLD BAY,AK                     ,20,18,19,18,17,16,18,21,22,24,23,22,236
FAIRBANKS,AK                    ,8,6,6,4,7,11,13,13,10,11,10,9,107
GULKANA,AK                      ,7,6,4,3,6,10,12,11,11,8,7,8,95
HOMER,AK                        ,13,11,10,10,9,9,11,14,16,15,13,14,145
JUNEAU,AK                       ,19,17,18,17,17,16,17,18,21,24,20,21,224
KING SALMON,AK                  ,11,10,10,10,12,14,15,17,17,14,12,12,153
KODIAK,AK                       ,18,17,17,16,17,16,15,15,17,17,17,18,198
KOTZEBUE,AK                     ,8,7,7,7,6,6,11,13,11,10,9,9,103
MCGRATH,AK                      ,10,9,9,7,9,12,15,17,14,12,11,12,137
NOME,AK                         ,10,9,9,8,8,9,13,16,14,11,10,10,128
ST. PAUL ISLAND,AK              ,18,15,16,14,14,13,15,18,20,22,22,21,207
TALKEETNA,AK                    ,8,8,8,7,10,11,14,16,15,12,10,10,131
VALDEZ,AK                       ,14,13,12,12,14,13,16,18,19,18,14,15,177
YAKUTAT,AK                      ,19,18,18,18,18,16,18,18,20,23,21,21,228
FLAGSTAFF,AZ                    ,7,7,7,5,4,3,12,12,7,5,5,7,82
PHOENIX,AZ                      ,4,4,3,2,1,1,4,5,3,3,2,4,35
TUCSON,AZ                       ,4,4,4,2,1,2,10,9,5,3,3,5,51
WINSLOW,AZ                      ,4,4,4,3,3,2,7,9,5,3,3,4,51
FORT SMITH,AR                   ,7,8,10,10,11,9,7,7,8,7,7,7,97
LITTLE ROCK,AR                  ,9,9,10,10,10,8,8,7,7,7,8,9,104
BAKERSFIELD,CA                  ,6,6,6,4,2,0,0,0,1,2,3,5,37
BISHOP,CA                       ,4,3,3,2,2,1,2,1,2,2,2,3,28
BLUE CANYON,CA                  ,12,12,12,10,7,3,1,1,3,6,10,12,89
FRESNO,CA                       ,7,8,7,4,2,1,0,0,1,2,5,7,45
LONG BEACH,CA                   ,6,6,5,3,1,1,0,0,1,2,3,5,34
LOS ANGELES,CA                  ,6,6,6,3,1,1,0,0,1,2,3,5,35
REDDING,CA                      ,12,11,11,8,6,3,1,1,2,5,9,12,80
SACRAMENTO,CA                   ,10,9,9,5,3,1,0,0,1,3,7,9,57
SAN DIEGO,CA                    ,7,6,6,4,2,1,0,0,1,3,4,6,41
SAN FRANCISCO,CA                ,11,10,10,6,3,1,1,1,1,4,8,11,67
SANTA BARBARA,CA                ,6,6,6,3,2,1,0,0,1,2,4,5,36
SANTA MARIA,CA                  ,7,8,7,5,2,1,0,0,1,2,5,7,46
STOCKTON,CA                     ,9,9,8,5,2,1,0,0,1,3,7,9,54
ALAMOSA,CO                      ,4,4,5,5,6,5,9,10,6,5,4,4,66
COLORADO SPRINGS,CO             ,4,5,7,8,10,10,13,12,7,5,4,4,89
DENVER,CO                       ,6,6,8,8,11,9,9,9,6,5,6,5,87
GRAND JUNCTION,CO               ,7,6,7,7,6,4,6,7,6,6,5,6,73
PUEBLO,CO                       ,4,4,6,6,8,7,9,9,5,4,4,4,70
BRIDGEPORT,CT                   ,11,10,11,11,12,10,9,9,8,8,10,11,120
HARTFORD,CT                     ,11,10,11,11,12,11,10,10,9,9,11,12,127
WILMINGTON,DE                   ,11,10,11,11,11,10,9,9,8,8,9,10,118
WASHINGTON DULLES,DC            ,10,9,10,10,12,11,11,10,9,8,9,10,118
WASHINGTON NAT'L,DC             ,10,9,11,10,11,10,10,9,8,8,8,9,114
DAYTONA BEACH,FL                ,7,7,8,6,8,13,14,14,13,10,7,7,115
FORT MYERS,FL                   ,5,5,5,5,8,15,18,18,15,8,4,5,112
GAINESVILLE,FL                  ,9,8,8,6,7,14,16,16,12,7,6,7,115
JACKSONVILLE,FL                 ,8,8,8,6,8,13,14,15,13,8,6,8,115
KEY WEST,FL                     ,6,5,5,4,7,12,12,15,16,11,6,7,107
MIAMI,FL                        ,7,6,6,6,10,16,16,18,18,14,8,7,133
ORLANDO,FL                      ,7,7,7,6,8,15,17,16,14,8,6,6,117
PENSACOLA,FL                    ,9,9,9,7,7,11,14,13,9,5,7,9,111
TALLAHASSEE,FL                  ,9,9,9,7,8,13,17,14,9,5,6,8,115
TAMPA,FL                        ,7,7,7,5,6,12,16,16,13,7,5,6,106
VERO BEACH,FL                   ,7,7,8,6,9,13,13,14,15,12,9,8,121
WEST PALM BEACH,FL              ,8,7,8,7,11,15,15,16,17,12,9,9,133
ATHENS,GA                       ,11,10,10,9,9,10,11,9,8,7,8,10,111
ATLANTA,GA                      ,11,10,11,9,9,10,12,10,8,7,8,11,115
AUGUSTA,GA                      ,10,9,10,8,9,10,11,10,8,6,7,9,107
COLUMBUS,GA                     ,10,9,10,8,8,10,13,10,8,6,8,10,109
MACON,GA                        ,10,9,10,8,8,10,12,10,8,6,7,9,109
SAVANNAH,GA                     ,9,8,9,7,8,12,13,13,10,6,6,8,110
HILO,HI                         ,16,17,23,25,25,25,27,27,23,24,23,21,276
HONOLULU,HI                     ,9,8,9,8,7,6,7,6,7,8,9,10,93
KAHULUI,HI                      ,9,8,10,9,6,4,6,6,5,6,9,10,88
LIHUE,HI                        ,14,13,16,17,15,17,19,18,16,17,17,17,197
BOISE,ID                        ,12,10,10,8,8,6,2,3,4,6,10,12,90
LEWISTON,ID                     ,11,9,11,10,10,8,4,4,5,8,11,11,103
POCATELLO,ID                    ,11,10,10,9,9,7,4,5,5,6,9,11,95
CHICAGO,IL                      ,11,9,12,12,11,10,10,9,9,10,10,11,125
MOLINE,IL                       ,9,8,11,11,12,10,9,9,8,8,9,10,115
PEORIA,IL                       ,9,8,11,12,12,10,9,8,8,8,9,10,114
ROCKFORD,IL                     ,9,8,11,12,12,11,9,9,9,9,9,10,118
SPRINGFIELD,IL                  ,9,9,11,11,11,10,8,8,8,8,9,9,113
EVANSVILLE,IN                   ,10,9,11,12,11,10,9,7,7,8,9,11,116
FORT WAYNE,IN                   ,12,10,12,13,12,11,10,9,9,9,11,13,132
INDIANAPOLIS,IN                 ,12,10,12,12,12,10,10,9,8,9,10,12,127
SOUTH BEND,IN                   ,14,11,13,13,12,11,9,9,10,11,12,14,139
DES MOINES,IA                   ,8,8,10,11,12,11,9,9,8,8,7,8,108
DUBUQUE,IA                      ,9,8,10,11,12,11,10,9,9,9,9,10,117
SIOUX CITY,IA                   ,7,6,8,10,11,11,9,9,8,7,6,7,99
WATERLOO,IA                     ,7,7,9,10,12,11,9,9,8,8,7,8,105
CONCORDIA,KS                    ,5,5,7,9,11,10,9,9,7,6,5,5,88
DODGE CITY,KS                   ,4,5,6,7,9,9,8,8,6,5,4,4,77
GOODLAND,KS                     ,4,4,6,8,10,9,9,8,6,5,4,4,76
TOPEKA,KS                       ,6,6,9,10,12,11,9,8,8,7,6,6,97
WICHITA,KS                      ,5,5,8,8,11,9,8,8,7,6,5,6,86
JACKSON,KY                      ,14,13,14,13,14,12,13,10,9,9,11,14,146
LEXINGTON,KY                    ,13,11,13,12,12,11,11,9,8,8,10,12,133
LOUISVILLE,KY                   ,11,10,13,12,12,10,10,8,8,8,10,12,124
PADUCAH,KY                      ,10,9,11,11,11,9,9,7,7,7,9,10,109
BATON ROUGE,LA                  ,11,9,9,8,8,10,14,12,9,6,8,10,112
LAKE CHARLES,LA                 ,9,8,8,7,8,9,11,11,9,7,8,9,104
NEW ORLEANS,LA                  ,10,9,9,7,8,11,14,13,10,6,7,10,114
SHREVEPORT,LA                   ,10,9,9,8,9,8,8,7,7,7,8,9,99
CARIBOU,ME                      ,14,12,13,13,14,14,14,13,12,13,14,14,159
PORTLAND,ME                     ,11,10,11,12,13,12,10,9,9,10,11,12,130
BALTIMORE,MD                    ,10,9,11,11,11,10,10,9,8,8,9,10,116
BLUE HILL,MA                    ,12,11,12,12,12,12,11,10,9,10,11,12,135
BOSTON,MA                       ,12,10,12,11,12,11,9,10,9,9,11,12,126
WORCESTER,MA                    ,12,11,12,12,13,11,10,10,9,10,11,12,134
ALPENA,MI                       ,14,11,11,11,11,11,10,10,12,12,13,14,141
DETROIT,MI                      ,13,11,12,12,12,11,10,10,10,10,11,14,135
FLINT,MI                        ,13,11,12,13,11,10,9,9,10,10,12,14,134
GRAND RAPIDS,MI                 ,16,12,12,13,11,10,10,10,10,12,13,16,146
HOUGHTON LAKE,MI                ,14,11,11,12,11,11,10,10,11,12,13,14,141
LANSING,MI                      ,14,11,12,12,11,11,10,10,10,10,12,14,138
MUSKEGON,MI                     ,14,12,11,11,10,9,8,8,9,10,12,14,126
SAULT STE. MARIE,MI             ,19,14,13,11,11,11,10,11,13,15,17,19,165
DULUTH,MN                       ,11,9,10,11,12,12,12,11,12,11,11,11,133
INTERNATIONAL FALLS,MN          ,10,8,9,9,11,12,11,11,11,10,10,10,121
MINNEAPOLIS-ST.PAUL,MN          ,9,7,10,11,12,12,10,10,9,8,8,9,115
ROCHESTER,MN                    ,8,7,9,10,12,11,9,9,9,8,8,8,109
SAINT CLOUD,MN                  ,8,7,9,9,11,12,10,10,9,8,7,8,108
JACKSON,MS                      ,10,9,10,8,9,9,11,10,7,6,8,10,108
MERIDIAN,MS                     ,10,9,10,9,9,9,12,9,8,6,8,10,108
TUPELO,MS                       ,10,10,11,9,10,9,10,8,7,7,9,11,111
COLUMBIA,MO                     ,8,8,11,11,12,9,8,8,8,9,9,9,111
KANSAS CITY,MO                  ,7,7,10,11,11,10,8,8,8,8,7,7,104
ST. LOUIS,MO                    ,9,8,11,11,11,10,8,8,7,8,9,9,110
SPRINGFIELD,MO                  ,8,8,10,11,11,10,8,8,8,8,9,9,109
BILLINGS,MT                     ,8,7,9,10,12,11,7,6,7,7,6,7,97
GLASGOW,MT                      ,8,6,7,7,10,11,8,7,6,5,6,8,92
GREAT FALLS,MT                  ,8,8,9,9,11,12,7,7,7,6,7,7,100
HAVRE,MT                        ,8,6,7,8,10,11,8,7,7,5,6,7,88
HELENA,MT                       ,7,6,8,8,11,11,8,7,6,6,7,7,94
KALISPELL,MT                    ,14,11,11,9,11,12,7,7,8,9,12,14,126
MISSOULA,MT                     ,14,10,12,11,12,12,7,7,7,8,11,13,124
GRAND ISLAND,NE                 ,5,6,7,9,11,10,9,8,7,5,5,5,87
LINCOLN,NE                      ,6,6,8,9,11,10,9,9,7,6,5,6,93
NORFOLK,NE                      ,6,6,8,9,11,10,9,9,8,6,5,6,92
NORTH PLATTE,NE                 ,5,5,7,8,11,10,10,8,7,6,4,4,85
OMAHA,NE                        ,6,7,9,10,12,11,10,9,8,7,6,7,100
SCOTTSBLUFF,NE                  ,4,5,7,8,11,10,8,7,6,5,4,5,80
VALENTINE,NE                    ,5,5,7,9,11,11,9,8,7,5,4,5,85
ELKO,NV                         ,8,7,8,6,7,4,3,3,3,4,6,7,67
ELY,NV                          ,6,7,7,7,7,4,5,6,4,5,5,6,70
LAS VEGAS,NV                    ,3,3,3,2,1,1,3,3,2,2,2,3,26
RENO,NV                         ,7,6,6,4,4,3,2,2,2,3,5,6,51
WINNEMUCCA,NV                   ,9,8,8,7,7,5,2,2,3,5,6,8,69
CONCORD,NH                      ,11,9,11,11,12,12,11,10,9,9,11,11,128
MT. WASHINGTON,NH               ,20,18,19,18,17,17,17,16,15,16,19,21,213
ATLANTIC CITY,NJ                ,11,10,10,11,10,9,9,9,8,8,9,10,114
NEWARK,NJ                       ,11,9,11,11,12,11,10,10,8,8,10,11,122
ALBUQUERQUE,NM                  ,4,4,4,3,4,4,9,9,6,5,3,4,59
CLAYTON,NM                      ,3,3,4,5,7,7,9,8,6,4,3,3,62
ROSWELL,NM                      ,3,3,3,2,4,4,7,7,6,4,3,3,50
ALBANY,NY                       ,12,10,12,12,13,12,11,10,10,10,11,12,136
BINGHAMTON,NY                   ,16,14,15,14,14,12,11,11,11,12,14,17,161
